FVC file = erie.fvc, Simulation Execution: 30/09/2018 23:38:17
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.67117300600000E+06, 0.47486935000000E+07, -0.7559426E+01,  0.0000000E+00,  0.3480101E+04,           2,           0,           1,           1
, 0.67179919200000E+06, 0.47483804000000E+07, -0.6090463E+01,  0.7001003E+03,  0.3480101E+04,           3,           0,           1,           1
, 0.67239470100000E+06, 0.47480233400000E+07, -0.4635767E+01,  0.1394451E+04,  0.3480101E+04,           5,           0,           1,           1
, 0.67290473500000E+06, 0.47475437600000E+07, -0.1000000E+01,  0.2094545E+04,  0.3480101E+04,           7,           0,           1,           1
, 0.67348566000000E+06, 0.47471539100000E+07, -0.4694092E+01,  0.2794157E+04,  0.3480101E+04,           8,           0,           1,           1
, 0.67400533000000E+06, 0.47467061800000E+07, -0.1000000E+01,  0.3480101E+04,  0.3480101E+04,,,           1,           1
, 0.31944240300000E+06, 0.46580788100000E+07, -0.1000000E+01,  0.0000000E+00,  0.5600773E+04,       21257,           0,           2,           2
, 0.32013859900000E+06, 0.46581526100000E+07, -0.1522690E+01,  0.7000966E+03,  0.5600773E+04,       21255,           0,           2,           2
, 0.32083479500000E+06, 0.46582264100000E+07, -0.2526415E+01,  0.1400193E+04,  0.5600773E+04,       21254,           0,           2,           2
, 0.32153099100000E+06, 0.46583002100000E+07, -0.2772930E+01,  0.2100290E+04,  0.5600773E+04,       21138,           0,           2,           2
, 0.32222718700000E+06, 0.46583740100000E+07, -0.2040794E+01,  0.2800386E+04,  0.5600773E+04,       21137,           0,           2,           2
, 0.32292338300000E+06, 0.46584478100000E+07, -0.1347479E+01,  0.3500483E+04,  0.5600773E+04,       21136,           0,           2,           2
, 0.32361957900000E+06, 0.46585216100000E+07, -0.4112485E+01,  0.4200580E+04,  0.5600773E+04,       21134,           0,           2,           2
, 0.32431577500000E+06, 0.46585954100000E+07, -0.2471594E+01,  0.4900676E+04,  0.5600773E+04,       21133,           0,           2,           2
, 0.32501197100000E+06, 0.46586692100000E+07, -0.1000000E+01,  0.5600773E+04,  0.5600773E+04,,,           2,           2
