X,Y
279790.0000,376370.0000
279790.0000,377170.0000
279790.0000,377170.5000
279790.0000,399110.0000
370480.0000,376370.0000
370480.0000,377170.0000
370480.0000,377170.5000
370480.0000,399110.0000
370480.5000,376370.0000
370480.5000,377170.0000
370480.5000,377170.5000
370480.5000,399110.0000
436560.0000,376370.0000
436560.0000,377170.0000
436560.0000,377170.5000
436560.0000,399110.0000
436560.5000,376370.0000
436560.5000,377170.0000
436560.5000,377170.5000
436560.5000,399110.0000
547850.0000,376370.0000
547850.0000,377170.0000
547850.0000,377170.5000
547850.0000,399110.0000
547850.5000,376370.0000
547850.5000,377170.0000
547850.5000,377170.5000
547850.5000,399110.0000
682420.0000,376370.0000
682420.0000,377170.0000
682420.0000,377170.5000
682420.0000,399110.0000
